UniProtID,degree,betweenness_centrality,clustering_coefficent
Q8TBF5,2,9.799930733640953e-06,0.0
Q8TBF4,5,4.006293490691567e-06,0.3
Q5MIZ7,17,6.760344498434663e-06,0.22058823529411764
Q9Y6C9,9,1.9689891205509358e-05,0.25
P30613,10,2.9317693517692816e-06,0.044444444444444446
P23409,9,3.7313742143648106e-06,0.3333333333333333
Q9NQ76,8,4.57296998765927e-07,0.6071428571428571
O95342,3,6.264005446779341e-07,0.0
Q9NQ75,2,0.0,1.0
P20930,11,2.6561114308712854e-05,0.05454545454545454
P20933,3,2.7643701497642535e-06,0.3333333333333333
P20936,80,0.0002759415934119275,0.11677215189873418
Q8NFX7,3,1.581519022198672e-08,0.6666666666666666
Q8IZF2,1,0.0,0.0
Q8TBF2,2,1.7358722099741783e-08,0.0
Q15573,18,2.7045882580664018e-06,0.32679738562091504
P23919,5,3.4817083306239174e-05,0.3
Q8NHX9,4,2.4771844844714834e-05,0.3333333333333333
Q9NXR8,23,3.579058252606442e-05,0.40711462450592883
Q9C0H2,4,1.980515773827562e-06,0.3333333333333333
P40616,23,5.2632758885655705e-05,0.05533596837944664
Q9C0H6,1,0.0,0.0
Q00535,174,0.0011058848378555045,0.061059065842801144
Q00534,107,0.000719220788495423,0.05254805149003703
Q00537,15,2.9541878406426807e-05,0.2
Q00536,22,5.334755544766589e-05,0.16883116883116883
Q9NXR5,1,0.0,0.0
Q9NXR7,39,8.311935128073844e-05,0.17408906882591094
O00712,7,9.675989515571959e-06,0.14285714285714285
Q96J65,1,0.0,0.0
O00241,2,0.0,1.0
O00716,137,0.001342689457108015,0.025225418634607127
Q5H9L2,4,3.587116956302338e-07,0.0
Q9UBM7,10,3.256861694391676e-05,0.044444444444444446
Q9UBM4,2,2.096904633108638e-07,0.0
P24522,77,0.00017010248997109163,0.06049213943950786
Q13835,17,1.0170231061757061e-05,0.23529411764705882
P40424,30,0.00012625342480855465,0.11954022988505747
P40425,20,9.08962948216377e-05,0.03684210526315789
P40426,5,3.273807920800427e-06,0.0
P40429,40,0.000160010554669963,0.11923076923076924
Q7Z3T8,7,2.5477634672359227e-05,0.14285714285714285
Q13838,74,0.0002667614196316804,0.12069603850425768
Q8TDW7,2,2.1947152680875637e-07,0.0
P08842,2,1.7791161199266695e-07,0.0
P03891,3,9.33962867290211e-07,0.0
P48960,4,4.073041349952974e-06,0.0
Q9H6Q4,3,8.280361120705256e-06,0.3333333333333333
P02768,171,0.005143552483550609,0.021327829377364983
P05386,110,0.0003504228099015366,0.2712260216847373
P05387,93,7.696951229615534e-05,0.3627863487611033
P02760,13,0.00016802643310928769,0.15384615384615385
P05388,138,0.00012946197526936883,0.3569237279170634
P02765,13,3.135699927374665e-05,0.0641025641025641
P02766,50,0.0003106346680647388,0.04163265306122449
Q7L266,4,1.569380140515068e-07,0.16666666666666666
Q9UQ07,11,3.378561351153382e-05,0.09090909090909091
Q9UJ70,35,0.00023858499248642875,0.08235294117647059
Q9UQ03,3,1.8630631445575646e-07,0.3333333333333333
Q9UJ72,2,2.4939441322332506e-07,0.0
Q8IWB9,2,2.3966059186279755e-06,0.0
Q15165,12,1.0836278179362948e-05,0.21212121212121213
Q9UJ78,7,1.792544240647496e-05,0.23809523809523808
