UniProtID,function,process,component
O75173,GO:0002020///GO:0004222///GO:0005515///GO:0008233///GO:0008237///GO:0008270///GO:0016787///GO:0046872,GO:0001501///GO:0006508///GO:0022617,GO:0005576///GO:0005578///GO:0005615///GO:0016607///GO:0031012
P16112,GO:0005201///GO:0005515///GO:0005540///GO:0030246///GO:0046872,GO:0001501///GO:0006508///GO:0007155///GO:0007417///GO:0018146///GO:0022617///GO:0030198///GO:0042340,GO:0005576///GO:0005578///GO:0005796///GO:0043202///GO:0031012
P35625,GO:0002020///GO:0004857///GO:0005515///GO:0008191///GO:0030414///GO:0046872,GO:0002576///GO:0007601///GO:0010033///GO:0010466///GO:0050896///GO:0051045///GO:0070373///GO:0071310///GO:1903984///GO:1904684,GO:0005576///GO:0005578///GO:0005604///GO:0005615///GO:0005634///GO:0031089///GO:0070062///GO:0031012
O76061,GO:0005179///GO:0019899///GO:0020037///GO:0042803,GO:0006874///GO:0006979///GO:0007566///GO:0010629///GO:0030968///GO:0033280///GO:0034976///GO:0040015///GO:0043434///GO:0046697///GO:0046885///GO:0055074///GO:0071456///GO:2001256,GO:0005576///GO:0005615///GO:0005783///GO:0005794///GO:0048471
P28300,GO:0004720///GO:0005507///GO:0005515///GO:0016491///GO:0016641///GO:0046872,GO:0001568///GO:0006464///GO:0007507///GO:0009725///GO:0030198///GO:0030199///GO:0030324///GO:0035904///GO:0042060///GO:0042493///GO:0048251///GO:0048514///GO:0048545///GO:0055114,GO:0005576///GO:0005578///GO:0005581///GO:0005615///GO:0005634
P35555,GO:0005178///GO:0005179///GO:0005201///GO:0005509///GO:0005515///GO:0008201///GO:0030023///GO:0032403,GO:0001501///GO:0001656///GO:0001822///GO:0006006///GO:0007507///GO:0010737///GO:0022617///GO:0030198///GO:0033627///GO:0034199///GO:0035582///GO:0035583///GO:0042593///GO:0043010///GO:0045671///GO:0048048///GO:0048050///GO:0071560///GO:0090287///GO:1990314///GO:2001205,GO:0001527///GO:0005576///GO:0005578///GO:0005604///GO:0005615///GO:0005622///GO:0031012///GO:0070062
P55001,,GO:0030198///GO:0048048///GO:0048050,GO:0001527///GO:0005576///GO:0005578
O94985,GO:0001540///GO:0005509///GO:0005515///GO:0019894///GO:0042988,GO:0001558///GO:0007155///GO:0007156///GO:0050806///GO:0051965,GO:0000139///GO:0005576///GO:0005615///GO:0005634///GO:0005783///GO:0005789///GO:0005794///GO:0005886///GO:0009986///GO:0014069///GO:0016020///GO:0016021///GO:0030054///GO:0042995///GO:0045202///GO:0045211///GO:0070062
P62805,GO:0003677///GO:0003723///GO:0005515///GO:0019904///GO:0042393///GO:0046982,GO:0000183///GO:0006303///GO:0006334///GO:0006335///GO:0006336///GO:0006352///GO:0016233///GO:0031047///GO:0032200///GO:0034080///GO:0044267///GO:0045653///GO:0045814///GO:0045815///GO:0051290///GO:1904837,GO:0000228///GO:0000784///GO:0000786///GO:0000788///GO:0005576///GO:0005634///GO:0005654///GO:0005694///GO:0016020///GO:0031012///GO:0043234///GO:0070062
P98160,GO:0005509///GO:0005515///GO:0008022///GO:0046872,GO:0001523///GO:0001525///GO:0006024///GO:0006027///GO:0022617///GO:0030198///GO:0030203///GO:0044267,GO:0005576///GO:0005578///GO:0005604///GO:0005615///GO:0005796///GO:0005886///GO:0005925///GO:0031012///GO:0043202///GO:0070062
