UniProtID,degree,betweenness_centrality,clustering_coefficent
Q8TBF5,2,7.698302276959061e-06,0.0
Q8TBF4,5,5.743631147947974e-06,0.3
O60507,6,6.999892888559895e-05,0.0
Q5MIZ7,17,5.847558597336863e-06,0.22058823529411764
Q9Y6C9,9,1.69031343962188e-05,0.25
P30613,10,2.9350158320166117e-06,0.044444444444444446
B4DMY6,3,3.1509186337897997e-06,0.0
P23409,9,3.144615271135002e-06,0.3333333333333333
H0YKD8,1,0.0,0.0
Q9NQ76,8,3.6070573607566587e-07,0.6071428571428571
O95342,3,5.081517767769402e-07,0.0
Q9NQ75,2,0.0,1.0
P20930,11,2.2899566855018015e-05,0.05454545454545454
P20933,3,2.1614163389144194e-06,0.3333333333333333
P20936,80,0.00030395699281778965,0.11677215189873418
Q8NFX7,3,1.2369058191616986e-08,0.6666666666666666
B3KM87,1,0.0,0.0
Q8IZF2,1,0.0,0.0
Q8TBF2,2,1.396760334197965e-08,0.0
Q15573,18,3.358967995483354e-06,0.32679738562091504
Q15572,2,0.0,1.0
P23919,5,2.9376117394321082e-05,0.3
Q8NHX9,4,1.9605175858849086e-05,0.3333333333333333
Q6ZNW5,1,0.0,0.0
Q9NXR8,23,4.1514239997868756e-05,0.40711462450592883
Q9C0H2,4,7.849779865633906e-06,0.3333333333333333
P40616,23,5.468100899307951e-05,0.05533596837944664
Q9C0H6,1,0.0,0.0
Q00535,174,0.000962378781738223,0.061059065842801144
Q00534,107,0.0007152574097737476,0.05254805149003703
Q00537,15,2.4700034657483877e-05,0.2
Q00536,22,6.421656179907571e-05,0.16883116883116883
Q9NXR5,1,0.0,0.0
Q9NXR7,39,7.743950802592928e-05,0.17408906882591094
O00712,7,2.016260528225431e-05,0.14285714285714285
Q6FHY4,1,0.0,0.0
Q96J65,1,0.0,0.0
O00241,2,0.0,1.0
O00716,137,0.0012681385589615652,0.025225418634607127
Q9H8L6,2,4.276678231210644e-07,0.0
Q5H9L2,4,2.8441935410597683e-07,0.0
Q9UBM7,10,2.8843984323253583e-05,0.044444444444444446
Q9UBM4,2,1.643196805322172e-07,0.0
P24522,77,0.00017249884205804692,0.06049213943950786
Q13835,17,8.168100358006541e-06,0.23529411764705882
P40424,30,0.00013203753305218374,0.11954022988505747
P40425,20,0.0001091380971577991,0.03684210526315789
P40426,5,2.7915416323904645e-06,0.0
P40429,40,0.00012826494634379486,0.11923076923076924
Q7Z3T8,7,2.000895303178836e-05,0.14285714285714285
Q13838,74,0.0002460306950391411,0.12069603850425768
Q8TDW7,2,1.7794705962397077e-07,0.0
P08842,2,1.4200021550891835e-07,0.0
P03891,3,7.444374335440625e-07,0.0
P48960,4,3.2134807278191887e-06,0.0
Q9H6Q4,3,6.516475429121773e-06,0.3333333333333333
P02768,171,0.004449767398218155,0.021327829377364983
P05386,110,0.00029703193175591706,0.2712260216847373
P05387,93,7.128659652671951e-05,0.3627863487611033
P02760,13,0.00014718468987435913,0.15384615384615385
P05388,138,0.00011175172575138363,0.3569237279170634
P02765,13,2.4962168502835108e-05,0.0641025641025641
Q76LA1,1,0.0,0.0
P02766,50,0.0002766512913072487,0.04163265306122449
Q7L266,4,1.2331888375749915e-07,0.16666666666666666
Q9UQ07,11,2.6589747021619285e-05,0.09090909090909091
Q9UJ70,35,0.00021360707365419978,0.08235294117647059
Q9UQ03,3,3.710893281820763e-07,0.3333333333333333
Q9UJ72,2,1.9877523794606446e-07,0.0
Q8IWB9,2,1.8812927215593472e-06,0.0
Q15165,12,8.647570065933468e-06,0.21212121212121213
Q9UJ78,7,1.4106887154867611e-05,0.23809523809523808
Q9H061,8,5.085092530633924e-07,0.14285714285714285
O15254,2,1.0888067952990382e-06,0.0
O15255,3,4.992679598977498e-07,0.0
Q9BZL1,12,4.925383529026469e-06,0.045454545454545456
Q86WA8,6,3.666111012430207e-05,0.13333333333333333
O14775,30,0.0004379244108435996,0.03218390804597701
O15258,8,7.982523263092607e-06,0.07142857142857142
O15259,20,2.4620985720060295e-05,0.05789473684210526
P41180,10,3.0588732270365893e-06,0.044444444444444446
Q86XA0,25,1.1525011705729052e-05,0.06
P29401,39,3.878025309792669e-05,0.09581646423751687
P29400,16,0.00010311687296031392,0.05
Q9H0S4,21,2.9062299542213225e-05,0.2
Q7RTW3,1,0.0,0.0
P39023,114,0.00012635052735741724,0.37090513895357863
Q7RTW5,1,0.0,0.0
Q53XM7,1,0.0,0.0
H0YL14,1,0.0,0.0
Q9H840,18,6.270544166816078e-06,0.20915032679738563
Q96CS2,20,2.6875489390540827e-05,0.1736842105263158
Q96CS3,71,0.00039129003460294185,0.07927565392354124
Q96CS4,5,6.982346190456106e-07,0.1
Q5W111,1,0.0,0.0
Q96CS7,8,1.596926123759115e-05,0.07142857142857142
Q9P215,5,1.5474506310672185e-05,0.2
P62807,44,9.073932135080637e-05,0.08139534883720931
Q9UK11,5,2.714661367219305e-06,0.1
P62805,246,0.0018613953954630838,0.07565953210552513
Q9UK17,29,0.00014011879739569792,0.03201970443349754
Q9BVC3,4,1.3096087321933893e-09,0.8333333333333334
Q9P212,7,2.4257061009796372e-06,0.0
Q92833,17,2.912839221828767e-05,0.3897058823529412
Q92832,15,2.0264565716954843e-05,0.02857142857142857
Q92831,151,0.0006420506773712113,0.0752317880794702
Q92830,115,0.0004363007134657905,0.11792524790236461
Q92837,14,1.0983743413296078e-05,0.02197802197802198
Q9H3M9,6,6.725277846586563e-08,0.4666666666666667
Q92835,45,6.109114988465065e-05,0.18181818181818182
P21453,12,0.00024260715840818874,0.06060606060606061
Q969K7,6,1.6204983658004055e-05,0.13333333333333333
Q92839,4,2.3987536984586773e-07,0.0
Q9H3M7,13,3.0395519582878132e-05,0.1282051282051282
Q9H3M0,5,6.063602833218655e-06,0.0
Q969K3,15,1.8758656500193206e-05,0.12380952380952381
Q9BVC4,19,4.394756519749879e-05,0.21052631578947367
Q9Y6E2,21,5.9366554618272986e-05,0.20952380952380953
Q8TAL5,1,0.0,0.0
Q9Y6E0,191,0.000501931070630684,0.11082942959492974
Q9Y6E7,6,2.629226417347665e-06,0.26666666666666666
Q9NZL9,29,8.781151488121715e-05,0.16995073891625614
Q9BZG9,1,0.0,0.0
Q9BZG8,1,0.0,0.0
Q9Y597,14,3.9676356331488666e-05,0.16483516483516483
Q9BVC6,3,1.2557056666182486e-06,0.0
J3KNQ4,2,6.8672760359974845e-06,0.0
P01236,3,4.4179845898818084e-07,0.3333333333333333
P19099,3,0.00013491458198183084,0.3333333333333333
Q09161,79,0.00015012935934351115,0.15092502434274585
Q09160,28,1.3277948955982486e-05,0.08465608465608465
F2Z2J1,2,0.0,1.0
Q96FV2,2,0.0,1.0
P09001,26,2.3841035170765427e-05,0.3476923076923077
P53708,3,0.0001349681239948328,0.0
P04035,12,8.823817308966617e-05,0.21212121212121213
P60520,515,0.0045256357031369775,0.0479845869064259
Q9UKZ1,6,2.2579158045445527e-05,0.2
P53701,1,0.0,0.0
Q9UKZ4,2,1.1968979289665617e-08,0.0
Q14568,18,5.2178125957368485e-05,0.13725490196078433
Q9H967,2,0.0,1.0
O00461,3,2.5421022061535e-06,0.0
A2TDC0,2,4.598715739254598e-07,0.0
Q14563,2,4.600064054807481e-06,0.0
Q14562,30,7.146181438650178e-05,0.11494252873563218
Q8WYB5,6,1.4166496757217138e-06,0.06666666666666667
Q14566,74,0.00021120372137242613,0.1643835616438356
Q14565,6,2.6496150629417695e-07,0.4
Q9NY46,4,7.341505343766286e-07,0.0
Q5JR04,1,0.0,0.0
A1L0U9,1,0.0,0.0
Q6P1A2,1,0.0,0.0
Q9NRH2,7,3.837637299934788e-06,0.23809523809523808
Q9NRH3,9,1.2911260944162768e-05,0.05555555555555555
P58397,2,5.027289237864051e-06,0.0
Q9UHF0,9,7.946425379453649e-05,0.027777777777777776
Q9UHF3,1,0.0,0.0
Q96PG8,1,0.0,0.0
P41218,8,3.195582023340415e-06,0.10714285714285714
P41219,17,0.00014558714955557696,0.19117647058823528
Q9UHF7,5,4.315711526429487e-07,0.5
P41214,9,2.9502048851141516e-05,0.16666666666666666
Q86VP1,23,1.1646912565660655e-05,0.24110671936758893
P41217,3,0.00014024996241947452,0.0
P41212,26,8.233506328548347e-05,0.16615384615384615
Q92527,1,0.0,0.0
Q86VY2,1,0.0,0.0
Q92520,17,2.6147111604899322e-05,0.058823529411764705
Q92522,49,6.111344131398717e-05,0.15136054421768708
Q7L8L6,7,8.596003485062103e-06,0.047619047619047616
Q9H4P4,21,5.4946169354877776e-05,0.07142857142857142
P23352,5,3.550629456205443e-07,0.3
Q5T9C2,1,0.0,0.0
Q53HV7,3,2.2522907606051113e-07,0.3333333333333333
Q5T9C9,3,5.426735027082957e-08,0.0
Q02878,159,0.0002440390291482142,0.37839344001273784
Q9HAP6,11,2.5411616237936103e-06,0.23636363636363636
P27449,8,2.3787258753835223e-05,0.03571428571428571
P27448,41,0.0002143669167352439,0.11829268292682926
Q9HAP2,3,6.100579748666004e-07,0.0
Q96HA7,26,1.6362700941908798e-05,0.18461538461538463
Q96HA1,20,6.253862805631949e-05,0.07368421052631578
Q96PM5,63,0.001003123644507663,0.04249871991807476
Q96HA9,4,3.6146584383923735e-05,0.5
P31995,8,1.6167905436325899e-06,0.42857142857142855
O75164,39,7.564882497958115e-05,0.10931174089068826
